move_no;cord1;cord2;cord3;cord4
1;00;01;02;12
2;10;11;12;22
3;20;21;22;32
4;01;02;03;13
5;11;12;13;23
6;21;22;23;33
7;10;11;12;02
8;20;21;22;12
9;30;31;32;22
10;11;12;13;03
11;21;22;23;13
12;31;32;33;23
13;02;01;00;10
14;12;11;10;20
15;22;21;20;30
16;03;02;01;11
17;13;12;11;21
18;23;22;21;31
19;12;11;10;00
20;22;21;20;10
21;32;31;30;20
22;13;12;11;01
23;23;22;21;11
24;33;32;31;21
25;20;10;00;01
26;21;11;01;02
27;22;12;02;03
28;30;20;10;11
29;31;21;11;12
30;32;22;12;13
31;21;11;01;00
32;22;12;02;01
33;23;13;03;02
34;31;21;11;10
35;32;22;12;11
36;33;23;13;12
37;00;10;20;21
38;01;11;21;22
39;02;12;22;23
40;10;20;30;31
41;11;21;31;32
42;12;22;32;33
43;01;11;21;20
44;02;12;22;21
45;03;13;23;22
46;11;21;31;30
47;12;22;32;31
48;13;23;33;32
