move_no;cord1;cord2;cord3;cord4
1;"0;0";"0;1";"0;2";"1;2"
2;"1;0";"1;1";"1;2";"2;2"
3;"2;0";"2;1";"2;2";"3;2"
4;"0;1";"0;2";"0;3";"1;3"
5;"1;1";"1;2";"1;3";"2;3"
6;"2;1";"2;2";"2;3";"3;3"
7;"1;0";"1;1";"1;2";"0;2"
8;"2;0";"2;1";"2;2";"1;2"
9;"3;0";"3;1";"3;2";"2;2"
10;"1;1";"1;2";"1;3";"0;3"
11;"2;1";"2;2";"2;3";"1;3"
12;"3;1";"3;2";"3;3";"2;3"
13;"0;2";"0;1";"0;0";"1;0"
14;"1;2";"1;1";"1;0";"2;0"
15;"2;2";"2;1";"2;0";"3;0"
16;"0;3";"0;2";"0;1";"1;1"
17;"1;3";"1;2";"1;1";"2;1"
18;"2;3";"2;2";"2;1";"3;1"
19;"1;2";"1;1";"1;0";"0;0"
20;"2;2";"2;1";"2;0";"1;0"
21;"3;2";"3;1";"3;0";"2;0"
22;"1;3";"1;2";"1;1";"0;1"
23;"2;3";"2;2";"2;1";"1;1"
24;"3;3";"3;2";"3;1";"2;1"
25;"2;0";"1;0";"0;0";"0;1"
26;"2;1";"1;1";"0;1";"0;2"
27;"2;2";"1;2";"0;2";"0;3"
28;"3;0";"2;0";"1;0";"1;1"
29;"3;1";"2;1";"1;1";"1;2"
30;"3;2";"2;2";"1;2";"1;3"
31;"2;1";"1;1";"0;1";"0;0"
32;"2;2";"1;2";"0;2";"0;1"
33;"2;3";"1;3";"0;3";"0;2"
34;"3;1";"2;1";"1;1";"1;0"
35;"3;2";"2;2";"1;2";"1;1"
36;"3;3";"2;3";"1;3";"1;2"
37;"0;0";"1;0";"2;0";"2;1"
38;"0;1";"1;1";"2;1";"2;2"
39;"0;2";"1;2";"2;2";"2;3"
40;"1;0";"2;0";"3;0";"3;1"
41;"1;1";"2;1";"3;1";"3;2"
42;"1;2";"2;2";"3;2";"3;3"
43;"0;1";"1;1";"2;1";"2;0"
44;"0;2";"1;2";"2;2";"2;1"
45;"0;3";"1;3";"2;3";"2;2"
46;"1;1";"2;1";"3;1";"3;0"
47;"1;2";"2;2";"3;2";"3;1"
48;"1;3";"2;3";"3;3";"3;2"
